Date,Open,High,Low,Close,Adj Close,Volume
2017-11-15,1035.000000,1039.630005,1030.760010,1036.410034,1036.410034,905300
2017-11-16,1038.750000,1051.760010,1038.000000,1048.469971,1048.469971,1188400
2017-11-17,1049.800049,1051.000000,1033.729980,1035.890015,1035.890015,1335600
2017-11-20,1036.000000,1038.699951,1032.680054,1034.660034,1034.660034,876300
2017-11-21,1040.040039,1050.390015,1039.140015,1050.300049,1050.300049,1110300
2017-11-22,1051.160034,1055.430054,1047.250000,1051.920044,1051.920044,726900
2017-11-24,1054.390015,1060.069946,1051.920044,1056.520020,1056.520020,824600
2017-11-27,1058.569946,1073.040039,1054.770020,1072.010010,1072.010010,1771500
2017-11-28,1073.989990,1080.000000,1054.540039,1063.290039,1063.290039,1821200
2017-11-29,1056.180054,1058.770020,1029.650024,1037.380005,1037.380005,2793300
2017-11-30,1039.939941,1044.140015,1030.069946,1036.170044,1036.170044,2254600
2017-12-01,1030.410034,1037.239990,1016.900024,1025.069946,1025.069946,1888100
2017-12-04,1027.800049,1031.339966,1009.219971,1011.869995,1011.869995,1938900
2017-12-05,1010.989990,1036.680054,1002.320007,1019.599976,1019.599976,1949900
2017-12-06,1016.520020,1039.579956,1015.309998,1032.719971,1032.719971,1435500
2017-12-07,1036.069946,1048.920044,1035.359985,1044.569946,1044.569946,1543300
2017-12-08,1051.810059,1056.420044,1045.859985,1049.380005,1049.380005,1558500
2017-12-11,1051.109985,1056.000000,1044.119995,1051.969971,1051.969971,1162700
2017-12-12,1050.000000,1062.500000,1044.869995,1048.770020,1048.770020,1694100
2017-12-13,1052.079956,1055.479980,1046.579956,1051.390015,1051.390015,1384000
2017-12-14,1055.489990,1067.079956,1053.599976,1057.469971,1057.469971,1545500
2017-12-15,1063.780029,1075.250000,1060.090088,1072.000000,1072.000000,2371578
